feature,Total_imp,Electrical_imp,Dissolved_imp,Total_rank,Electrical_rank,Dissolved_rank,avg_importance,avg_rank
pet,773.2,733.6,856.0,1,1,1,787.6,1
day_of_year,692.0,651.0,602.8,2,2,4,648.6,2
doy_cos,561.2,522.8,720.8,3,4,2,601.6,3
doy_sin,556.6,509.4,698.0,4,5,3,588.0,4
green,529.6,565.4,578.4,5,3,5,557.8000000000001,5
MNDWI,466.2,442.4,454.6,6,8,7,454.3999999999999,6
year,440.8,455.2,442.8,7,7,8,446.26666666666665,7
swir_ratio,392.4,397.0,471.8,8,9,6,420.40000000000003,8
swir22_nir_ratio,370.8,386.2,405.8,10,10,12,387.59999999999997,9
NDMI,353.8,370.4,424.4,14,11,9,382.8666666666666,10
nir,342.8,361.4,412.2,15,12,11,372.1333333333334,11
nir_green_ratio,361.2,326.8,388.4,12,14,13,358.8,12
swir22,363.8,359.4,350.0,11,13,14,357.73333333333335,13
swir_diff,354.0,287.8,415.0,13,15,10,352.26666666666665,14
Cl,249.8,471.2,185.8,18,6,22,302.26666666666665,15
nir_minus_green,286.4,283.2,320.4,16,17,17,296.66666666666663,16
swir16,265.4,259.0,329.8,17,20,15,284.73333333333335,17
dist_m,222.6,276.4,297.2,21,18,19,265.40000000000003,18
dist_from_center,244.8,261.4,235.8,19,19,21,247.33333333333334,19
DIP,240.8,172.6,323.2,20,28,16,245.5333333333333,20
date_diff_days,221.8,170.6,315.6,22,29,18,236.0,21
pH,206.4,238.4,260.0,24,21,20,234.9333333333333,22
Alkalinity,385.0,185.4,77.8,9,27,42,216.06666666666663,23
SOC,191.0,231.2,165.0,27,24,26,195.73333333333335,24
ss,200.8,235.2,136.0,25,22,33,190.66666666666666,25
Soil_pH,212.8,232.8,123.6,23,23,35,189.73333333333335,26
Soil_wetness,158.0,285.0,91.4,31,16,39,178.13333333333333,27
lat_lon_interaction,198.4,166.0,165.0,26,30,26,176.46666666666667,28
SO4,136.2,189.2,160.6,36,26,28,162.0,29
GLC_Managed,178.0,152.0,140.6,28,31,32,156.86666666666667,30
SpecCond25C,165.8,201.0,103.8,29,25,38,156.86666666666667,30
Popdens_00,152.8,150.2,157.2,33,32,29,153.4,32
GLC_Water,143.8,135.8,175.6,34,34,24,151.73333333333335,33
pH_weighted,163.8,129.2,146.8,30,35,31,146.6,34
swir16_nir_ratio,137.0,114.0,167.0,35,37,25,139.33333333333334,35
DIP_weighted,114.4,76.8,176.2,39,42,23,122.46666666666665,36
GLC_Artificial,82.6,136.6,147.6,42,33,30,122.26666666666665,37
managed_pop_pressure,130.8,95.8,125.6,37,38,34,117.40000000000002,38
SpecCond_weighted,95.8,121.6,111.0,40,36,36,109.46666666666665,39
Alkalinity_weighted,157.4,81.8,85.0,32,41,40,108.06666666666666,40
vb,123.8,91.2,105.4,38,39,37,106.8,41
month_sin,86.6,87.0,79.6,41,40,41,84.39999999999999,42
month_cos,68.8,74.0,64.8,43,43,45,69.2,43
pa,61.0,71.0,67.8,45,44,43,66.60000000000001,44
month,62.2,62.0,65.8,44,46,44,63.333333333333336,45
mt,53.6,61.4,31.4,46,47,49,48.800000000000004,46
sc,44.4,49.2,36.6,47,49,47,43.4,47
va,43.6,54.8,22.2,48,48,52,40.2,48
pb,29.0,27.8,54.6,50,53,46,37.13333333333333,49
su,35.0,65.8,4.0,49,45,60,34.93333333333333,50
lithology_diversity,27.8,44.2,30.6,51,50,50,34.199999999999996,51
vi,27.4,42.2,32.8,52,51,48,34.13333333333333,52
SO4_reliability,24.6,28.0,16.2,53,52,56,22.933333333333334,53
artificial_carbonate,14.6,27.0,20.8,57,54,53,20.8,54
SpecCond25C_reliability,16.0,12.6,25.2,56,56,51,17.933333333333334,55
DIP_reliability,17.6,15.6,16.6,55,55,55,16.6,56
Cl_reliability,20.4,9.4,18.0,54,57,54,15.933333333333332,57
pi,14.4,8.8,10.8,58,58,58,11.333333333333334,58
Alkalinity_reliability,11.2,5.4,13.6,59,59,57,10.066666666666668,59
pH_reliability,2.8,5.4,8.2,60,59,59,5.466666666666666,60
GLC_Aquatic_Veg,0.0,0.0,0.0,63,63,63,0.0,63
dist_km,0.0,0.0,0.0,63,63,63,0.0,63
GLC_PERC_COV,0.0,0.0,0.0,63,63,63,0.0,63
quarter,0.0,0.0,0.0,63,63,63,0.0,63
is_wet_season,0.0,0.0,0.0,63,63,63,0.0,63
